,zone,start,stop
0,32,0,10
1,111,0,50
2,111,50,100
3,111,100,150
4,111,150,200
5,111,200,250
6,111,250,300
7,111,300,350
8,111,350,400
9,111,400,450
10,111,450,500
11,111,500,550
12,111,550,600
13,111,600,650
14,111,650,700
15,111,700,750
16,111,750,800
17,111,800,850
18,111,850,900
19,111,900,950
20,111,950,975
21,204,0,20
22,234,0,41
23,240,0,34
24,246,0,50
25,246,50,97
26,249,0,50
27,249,50,94
28,360,0,50
29,360,50,90
30,374,0,28
31,376,0,50
32,376,50,100
33,376,100,139
34,489,0,13
35,514,0,14
36,521,0,50
37,521,50,100
38,521,100,150
39,521,150,200
40,521,200,250
41,521,250,300
42,521,300,350
43,521,350,400
44,521,400,450
45,521,450,451
46,546,0,50
47,546,50,100
48,546,100,150
49,546,150,200
50,546,200,250
51,546,250,290
52,624,0,50
53,624,50,91
54,679,0,50
55,679,50,100
56,679,100,150
57,679,150,177
58,693,0,50
59,693,50,53
60,698,0,50
61,698,50,100
62,698,100,150
63,698,150,200
64,698,200,250
65,698,250,300
66,698,300,350
67,698,350,400
68,698,400,450
69,698,450,500
70,698,500,550
71,698,550,600
72,698,600,650
73,698,650,700
74,698,700,750
75,698,750,800
76,698,800,850
77,698,850,900
78,698,900,950
79,698,950,1000
80,698,1000,1050
81,698,1050,1100
82,698,1100,1150
83,698,1150,1200
84,698,1200,1250
85,698,1250,1300
86,698,1300,1350
87,698,1350,1400
88,698,1400,1450
89,698,1450,1500
90,698,1500,1550
91,698,1550,1600
92,698,1600,1650
93,698,1650,1700
94,698,1700,1750
95,698,1750,1766
96,879,0,50
97,879,50,100
98,879,100,150
99,879,150,200
100,879,200,250
101,879,250,300
102,879,300,350
103,1018,0,31
104,1052,0,28
105,1089,0,50
106,1089,50,100
107,1089,100,150
108,1089,150,200
109,1089,200,250
110,1089,250,257
111,1146,0,50
112,1146,50,100
113,1146,100,150
114,1146,150,200
115,1146,200,211
116,1167,0,21
117,1176,0,50
118,1176,50,100
119,1176,100,133
120,1284,0,50
121,1284,50,100
122,1284,100,150
123,1284,150,200
124,1284,200,250
125,1284,250,300
126,1284,300,350
127,1284,350,400
128,1284,400,410
129,1329,0,23
130,1365,0,50
131,1365,50,100
132,1365,100,150
133,1365,150,200
134,1365,200,209
135,1391,0,50
136,1391,50,100
137,1391,100,150
138,1391,150,200
139,1391,200,250
140,1391,250,300
141,1391,300,350
142,1391,350,400
143,1391,400,450
144,1391,450,500
145,1391,500,508
146,1521,0,11
147,1622,0,50
148,1622,50,100
149,1622,100,150
150,1622,150,200
151,1622,200,250
152,1622,250,300
153,1622,300,350
154,1622,350,400
155,1622,400,450
156,1622,450,487
157,1742,0,50
158,1742,50,100
159,1742,100,150
160,1742,150,200
161,1742,200,250
162,1742,250,300
163,1742,300,350
164,1742,350,400
165,1742,400,450
166,1742,450,500
167,1742,500,550
168,1742,550,600
169,1742,600,650
170,1742,650,700
171,1742,700,750
172,1742,750,800
173,1742,800,850
174,1742,850,900
175,1742,900,950
176,1742,950,1000
177,1742,1000,1023
178,1769,0,50
179,1769,50,100
180,1769,100,109
181,1839,0,50
182,1839,50,100
183,1839,100,150
184,1839,150,200
185,1839,200,250
186,1839,250,256
187,2020,0,50
188,2020,50,100
189,2020,100,116
190,2092,0,50
191,2092,50,100
192,2092,100,101
193,2318,0,50
194,2318,50,71
195,2335,0,50
196,2335,50,100
197,2335,100,150
198,2335,150,200
199,2335,200,250
200,2335,250,300
201,2335,300,350
202,2335,350,400
203,2335,400,450
204,2335,450,500
205,2335,500,550
206,2335,550,600
207,2335,600,650
208,2335,650,700
209,2335,700,750
210,2335,750,800
211,2335,800,850
212,2335,850,900
213,2335,900,950
214,2335,950,1000
215,2335,1000,1029
216,2348,0,8
217,2352,0,50
218,2352,50,100
219,2352,100,112
